R_ECC_RECOVERED,R_READ_ERROR_RATE,R_COMMAND_TIMEOUT,N_WEAR_LEVELING_COUNT,R_UNUSED_BLOCK_COUNT,R_CRC_ERROR,R_ERASE_FAIL_COUNT,N_UNUSED_BLOCK_COUNT,R_PROGRAM_FAIL_COUNT,R_UNCORR_SECTOR_COUNT,N_PROGRAM_FAIL_COUNT,Actual,Prediction,Active_probability,Failure_probability
248886980,4294967295,0,89,4294967295.0,0,0,130,1,0,100,Failed,predicted_failed,0.00088840723,0.9991116
2757842123,4294967295,0,4,4294967295.0,0,0,130,4,0,100,Failed,predicted_failed,0.0041342974,0.9958657
309687284,4294967295,0,81,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.08829981,0.9117002
157314960,4294967295,0,72,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.21665603,0.783344
2833089619,4294967295,2,1,4294967295.0,0,0,130,0,0,100,Failed,predicted_active,0.95716894,0.042831067
532362134,4294967295,1,48,4294967295.0,2,0,130,0,0,100,Failed,predicted_failed,0.0036836863,0.9963163
65984038,4294967295,0,89,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.14543945,0.85456055
13025937,4294967295,0,96,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0010989904,0.998901
129661570,4294967295,0,83,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.023457468,0.97654253
948607,4294967295,0,14,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.015265584,0.9847344
1033544294,4294967295,0,57,4294967295.0,0,0,130,1,0,100,Failed,predicted_failed,0.0011419058,0.9988581
983881128,4294967295,0,31,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.002737403,0.9972626
6107005,4294967295,0,95,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00017660856,0.9998234
56453376,4294967295,0,87,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.16731936,0.83268064
498205548,4294967295,0,64,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.021080852,0.97891915
2144072,4294967295,0,97,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,7.498264e-05,0.999925
406585428,4294967295,2,64,4294967295.0,0,0,130,0,0,100,Failed,predicted_active,0.75693727,0.24306272
100182421,4294967295,1,69,4294967295.0,11,0,130,0,0,100,Failed,predicted_failed,0.00046563148,0.99953437
2082967727,4294967295,0,47,4294967295.0,0,0,130,4,0,100,Failed,predicted_failed,0.00020724535,0.99979275
468160508,4294967295,3,79,4294967295.0,6,1,130,0,0,100,Failed,predicted_failed,1.6570091e-05,0.99998343
1143663,4294967295,0,96,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,4.851818e-05,0.9999515
43062386,4294967295,0,92,4294967295.0,0,0,130,6,0,100,Failed,predicted_failed,2.2411346e-05,0.9999776
23792604,4294967295,0,89,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0026559234,0.9973441
985991288,4294967295,0,3,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.05551517,0.94448483
794061611,4294967295,0,40,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.10029042,0.8997096
1425539,4294967295,0,97,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,4.851818e-05,0.9999515
572799802,4294967295,0,73,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.009272099,0.9907279
505004181,4294967295,0,43,4294967295.0,0,0,130,2,0,100,Failed,predicted_failed,0.013411701,0.9865883
263542448,4294967295,0,74,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.12948376,0.87051624
320908825,4294967295,0,89,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.013508797,0.9864912
523151,4294967295,0,85,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00068295,0.99931705
719679699,4294967295,1,46,4294967295.0,3,0,130,0,0,100,Failed,predicted_failed,0.002713561,0.99728644
44010850,4294967295,0,93,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0013193488,0.99868065
628745869,4294967295,0,77,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.009112835,0.99088717
985991288,4294967295,0,3,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.05551517,0.94448483
1009727,4294967295,0,77,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00077056885,0.99922943
1437207444,4294967295,0,8,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.14818901,0.851811
536651118,4294967295,0,63,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0805971,0.9194029
